ID;LATITUDE;LONGITUDE;NAME
1;-10.749999999999998;-62.38333333333334;ABRACOS_HILL
2;51.78333333333333;59.716666666666654;ADAMOWKA
3;21.71666666666667;-102.35;AGUASCALIENTES
4;43.71666666666667;0.24999999999998485;AIRE_ADOUR
5;24.18333333333333;55.08333333333333;AL_KHAZNAH
6;42.05;-93.78333333333333;AMES
7;40.88333333333333;109.61666666666666;AOE_BAOTOU
8;36.78333333333333;-97.15;ARM_CART_PONCA
9;36.65;-97.51666666666667;ARM_CART_SGP
10;36.95;-96.88333333333334;ARM_CART_SHIDLER
11;-23.78333333333333;133.8833333333333;ASP
12;-12.516666666666664;131.28333333333333;AU-FOG
13;-12.483333333333333;131.15;AU-HOW
14;-35.650000000000006;148.15;AU-TUM
15;42.016666666666666;-4.616666666666661;AUTILLA
16;32.516666666666666;-114.71666666666667;AZ_BORDER_STATION
17;9.283333333333333;105.71666666666668;BAC_LIEU
18;14.71666666666667;-16.483333333333334;BAMBEY-ISRA
19;13.549999999999999;2.6499999999999906;BANIZOUMBOU
20;52.61666666666667;0.5166666666666647;BARTON_BENDISH
21;32.28333333333333;-91.75;BASKIN
22;50.58333333333333;4.7166666666666535;BE-LON
23;-43.883333333333326;-65.78333333333333;BELMANIP_00001
24;-35.41666666666667;-68.01666666666667;BELMANIP_00003
25;-38.68333333333334;-67.05;BELMANIP_00004
26;-39.08333333333333;-69.08333333333333;BELMANIP_00006
27;-32.016666666666666;-63.78333333333333;BELMANIP_00007
28;-21.78333333333333;-62.116666666666674;BELMANIP_00009
29;-24.75;-62.349999999999994;BELMANIP_00010
30;-22.150000000000006;-51.68333333333332;BELMANIP_00013
31;-22.58333333333333;-49.983333333333334;BELMANIP_00014
32;-11.716666666666667;-71.11666666666667;BELMANIP_00017
33;-11.716666666666667;-53.349999999999994;BELMANIP_00019
34;-18.75;-62.08333333333333;BELMANIP_00020
35;-14.316666666666661;-43.35000000000001;BELMANIP_00024
36;-14.716666666666667;-41.750000000000014;BELMANIP_00025
37;-16.816666666666663;-50.11666666666666;BELMANIP_00026
38;-0.24999999999999906;-71.28333333333333;BELMANIP_00028
39;-1.5833333333333277;-71.58333333333333;BELMANIP_00029
40;-2.650000000000005;-63.650000000000006;BELMANIP_00030
41;-4.450000000000002;-54.650000000000006;BELMANIP_00031
42;-4.9166666666666705;-69.15;BELMANIP_00032
43;-5.849999999999993;-59.016666666666666;BELMANIP_00033
44;-6.483333333333333;-53.71666666666667;BELMANIP_00034
45;-7.583333333333328;-59.41666666666667;BELMANIP_00035
46;-8.316666666666661;-72.31666666666666;BELMANIP_00036
47;-9.716666666666667;-60.349999999999994;BELMANIP_00038
48;-8.383333333333338;-35.61666666666666;BELMANIP_00040
49;7.0833333333333295;-59.41666666666667;BELMANIP_00042
50;2.9500000000000037;-53.78333333333333;BELMANIP_00044
51;1.7833333333333323;-63.81666666666666;BELMANIP_00045
52;0.750000000000001;-71.38333333333334;BELMANIP_00046
53;5.750000000000001;-69.21666666666667;BELMANIP_00047
54;4.016666666666667;-71.71666666666667;BELMANIP_00048
55;17.616666666666667;-89.78333333333333;BELMANIP_00050
56;14.349999999999996;-84.98333333333333;BELMANIP_00051
57;30.016666666666666;-104.21666666666667;BELMANIP_00056
58;27.583333333333336;-103.61666666666666;BELMANIP_00057
59;28.916666666666664;-98.18333333333334;BELMANIP_00058
60;39.55;-80.58333333333333;BELMANIP_00060
61;35.81666666666666;-93.51666666666667;BELMANIP_00061
62;34.28333333333333;-110.51666666666667;BELMANIP_00063
63;30.65;-105.31666666666666;BELMANIP_00068
64;38.65;-98.91666666666667;BELMANIP_00069
65;32.18333333333333;-97.08333333333333;BELMANIP_00070
66;39.916666666666664;-88.31666666666666;BELMANIP_00071
67;36.71666666666667;-86.81666666666666;BELMANIP_00072
68;41.61666666666667;-77.88333333333334;BELMANIP_00075
69;47.75;-67.81666666666666;BELMANIP_00081
70;46.75;-70.41666666666667;BELMANIP_00082
71;46.61666666666667;-105.11666666666666;BELMANIP_00083
72;41.25;-108.28333333333333;BELMANIP_00085
73;46.35;-101.08333333333333;BELMANIP_00086
74;42.15;-100.91666666666667;BELMANIP_00087
75;49.28333333333333;-102.68333333333334;BELMANIP_00088
76;43.55;-96.35;BELMANIP_00089
77;42.75;-82.21666666666667;BELMANIP_00090
78;41.28333333333333;-94.78333333333333;BELMANIP_00091
79;52.38333333333333;-124.31666666666668;BELMANIP_00094
80;52.81666666666666;-96.21666666666667;BELMANIP_00095
81;50.28333333333333;-85.78333333333333;BELMANIP_00098
82;57.68333333333334;-118.55;BELMANIP_00099
83;57.28333333333333;-94.01666666666667;BELMANIP_00100
84;57.18333333333334;-157.71666666666667;BELMANIP_00103
85;52.11666666666667;-104.78333333333333;BELMANIP_00106
86;61.016666666666666;-127.64999999999999;BELMANIP_00108
87;68.95;-158.8166666666667;BELMANIP_00113
88;67.95;-145.48333333333335;BELMANIP_00114
89;68.51666666666667;-121.45;BELMANIP_00116
90;64.41666666666667;-83.88333333333334;BELMANIP_00117
91;60.516666666666666;-72.38333333333334;BELMANIP_00118
92;-21.41666666666667;30.41666666666667;BELMANIP_00120
93;-21.88333333333334;29.450000000000003;BELMANIP_00122
94;-27.683333333333337;23.816666666666677;BELMANIP_00123
95;-23.950000000000003;20.183333333333323;BELMANIP_00124
96;-22.183333333333337;45.78333333333332;BELMANIP_00125
97;-29.383333333333326;19.61666666666666;BELMANIP_00126
98;-27.58333333333333;27.950000000000003;BELMANIP_00127
99;-23.450000000000003;28.183333333333323;BELMANIP_00128
