"#";LATITUDE;LONGITUDE;NAME
142;38.0088;40.858;BELMANIP_00234
143;39.5513;58.8439;BELMANIP_00241
144;44.5329;38.8881;BELMANIP_00243
145;43.8603;-1.09889;BELMANIP_00244
146;48.3274;49.5687;BELMANIP_00246
147;49.6854;54.4886;BELMANIP_00247
148;42.1242;-5.11484;BELMANIP_00248
149;44.8702;11.9698;BELMANIP_00250
150;46.1107;19.9447;BELMANIP_00251
151;47.0995;33.3209;BELMANIP_00253
152;47.8244;53.0368;BELMANIP_00255
153;41.9733;55.5371;BELMANIP_00256
154;57.6045;42.5802;BELMANIP_00257
155;54.7396;57.3921;BELMANIP_00258
156;59.6518;58.6826;BELMANIP_00260
157;57.2544;50.6172;BELMANIP_00262
158;51.923;-4.31301;BELMANIP_00264
159;53.1804;-0.114285;BELMANIP_00265
160;50.8836;2.57211;BELMANIP_00266
161;51.068;11.4999;BELMANIP_00267
162;53.281;53.2788;BELMANIP_00270
163;63.1771;44.0396;BELMANIP_00271
164;64.1696;51.1818;BELMANIP_00272
165;61.8885;58.3599;BELMANIP_00273
166;63.8846;26.7436;BELMANIP_00274
167;-31.1529;124.073;BELMANIP_00276
168;-34.8077;141.312;BELMANIP_00277
169;-31.3838;116.869;BELMANIP_00280
170;-35.864;143.026;BELMANIP_00281
171;-26.2009;115.082;BELMANIP_00284
172;-23.6509;124.98;BELMANIP_00285
173;-29.72;126.492;BELMANIP_00286
174;-25.361;115.907;BELMANIP_00288
175;-20.2979;124.879;BELMANIP_00289
176;-29.3847;133.247;BELMANIP_00291
177;-21.5385;143.833;BELMANIP_00293
178;-25.5287;137.985;BELMANIP_00294
179;-28.58;140.203;BELMANIP_00295
180;-16.4508;142.623;BELMANIP_00296
181;-17.2387;122.964;BELMANIP_00297
182;-16.2551;136.97;BELMANIP_00298
183;-16.2663;141.917;BELMANIP_00299
184;-19.0829;123.669;BELMANIP_00300
185;-19.4853;137.179;BELMANIP_00301
186;-1.77321;103.506;BELMANIP_00306
187;9.73779;122.762;BELMANIP_00310
188;18.4584;82.0494;BELMANIP_00313
189;15.8126;103.103;BELMANIP_00317
190;10.7219;105.679;BELMANIP_00318
191;22.493;81.8757;BELMANIP_00321
192;29.8363;74.8747;BELMANIP_00332
193;28.063;76.6651;BELMANIP_00333
194;26.6631;85.4882;BELMANIP_00334
195;25.712;88.1824;BELMANIP_00335
196;21.1686;95.2395;BELMANIP_00336
197;21.1464;106.022;BELMANIP_00337
198;25.997;68.5234;BELMANIP_00338
199;28.9142;60.7606;BELMANIP_00339
200;27.6903;63.0793;BELMANIP_00340
201;33.3648;86.3677;BELMANIP_00346
202;34.8402;101.49;BELMANIP_00348
203;37.2879;107.942;BELMANIP_00350
204;33.9349;74.8747;BELMANIP_00353
205;31.6053;73.4522;BELMANIP_00354
206;31.1183;105.623;BELMANIP_00355
207;32.7817;115.555;BELMANIP_00356
208;36.0896;140.036;BELMANIP_00357
209;30.783;63.4826;BELMANIP_00359
210;44.6055;131.331;BELMANIP_00363
211;42.0571;108.648;BELMANIP_00366
212;42.208;115.403;BELMANIP_00367
213;49.7357;68.2209;BELMANIP_00368
214;47.1706;97.3566;BELMANIP_00369
215;47.2209;106.329;BELMANIP_00370
216;42.2416;111.067;BELMANIP_00371
217;45.6682;122.592;BELMANIP_00373
218;40.6656;62.8777;BELMANIP_00375
219;44.3875;62.172;BELMANIP_00376
220;45.7623;68.725;BELMANIP_00377
221;46.0473;76.0845;BELMANIP_00378
222;48.6248;93.4382;BELMANIP_00380
223;44.2031;106.833;BELMANIP_00381
224;41.2189;93.2232;BELMANIP_00382
225;40.2632;101.994;BELMANIP_00383
226;57.5562;73.9674;BELMANIP_00384
227;57.7574;89.2914;BELMANIP_00385
228;59.3165;92.4166;BELMANIP_00386
229;54.8402;97.7598;BELMANIP_00387
230;59.0483;107.539;BELMANIP_00389
231;55.4132;122.328;BELMANIP_00390
232;59.0651;130.122;BELMANIP_00391
233;51.3865;132.944;BELMANIP_00393
234;55.6114;86.6702;BELMANIP_00394
235;56.5167;69.5315;BELMANIP_00397
236;51.3195;119.435;BELMANIP_00398
237;50.1459;67.8177;BELMANIP_00399
238;59.5513;80.6212;BELMANIP_00401
239;51.6883;63.1802;BELMANIP_00402
240;51.9398;68.1201;BELMANIP_00403
241;62.3589;97.0541;BELMANIP_00407
242;63.5995;107.337;BELMANIP_00408
243;68.4112;120.343;BELMANIP_00409
244;61.7218;113.89;BELMANIP_00410
245;62.6104;122.157;BELMANIP_00411
246;62.3589;133.045;BELMANIP_00412
247;67.925;147.563;BELMANIP_00413
248;69.1656;101.792;BELMANIP_00416
249;69.9201;150.99;BELMANIP_00417
250;43.3705;108.915;BELMANIP_00424
251;24.8705;-14.4777;BELMANIP_00425
252;45.1741;102.621;BELMANIP_00429
253;38.692;89.567;BELMANIP_00430
254;-9.40425;-53.7166;BELMANIP_00431
255;-15.4935;-66.2564;BELMANIP_00432
256;-12.0589;-67.1189;BELMANIP_00433
257;-4.60607;-60.3355;BELMANIP_00434
258;-3.80793;-72.5893;BELMANIP_00435
259;3.04846;-69.8396;BELMANIP_00436
260;0.191078;-53.388;BELMANIP_00437
261;0.776286;-62.6511;BELMANIP_00438
262;26.79;97.5619;BELMANIP_00440
263;13.8666;106.36;BELMANIP_00441
264;13.0816;105.707;BELMANIP_00442
265;-2.61772;113.879;BELMANIP_00443
266;51.8367;20.7917;BELSK
267;35.5505;9.914;BEN_SALEM
268;53.65;-105.32;BERMS_BOREAS
269;22.1667;90.75;BHOLA
270;36.605;-97.516;BIL
271;-25.8989;139.346;BIRDSVILLE
272;40.0667;-88.3667;BON
273;11.85;-3.75;BONDOUKOUI
274;40.0533;-88.3719;BONDVILLE
275;40.05;-105.007;BOU
276;3.095;14.612;BOUMBA_BEK
277;-10.7618;-62.3572;BR-JI1
278;-2.6091;-60.2093;BR-MA2
279;-2.85667;-54.9589;BR-SA1
280;-3.01803;-54.9714;BR-SA3
281;53.286;8.367;BRAKE
282;50.28;-104.7;BRATTS_LAKE
283;48.5625;5.505;BURE_OPE
284;35.1868;-102.094;BUSHLAND
285;-21.51;21.74;BW-GHG
286;-21.2;21.75;BW-GHM
287;-19.9155;23.5605;BW-MA1
288;49.7093;-112.94;CA-LET
289;55.9117;-98.3822;CA-NS3
290;55.9117;-98.3822;CA-NS4
291;53.9163;-104.692;CA-OJP
292;54.485;-105.818;CA-SF1
293;53.908;-104.656;CA-SJ1
294;53.8758;-104.645;CA-SJ3
295;42.6609;-80.5595;CA-TP1
296;42.7744;-80.4588;CA-TP2
297;38.9585;-75.9516;CALIPSO_CROUSE_MILL
298;39.9345;-76.2193;CALIPSO_STRASBURG
